,sub,Accuracy,Time [ms]
110,3.0,0.7,600.0
111,3.0,0.65,700.0
112,3.0,0.65,800.0
113,3.0,0.725,900.0
114,3.0,0.625,1000.0
115,3.0,0.6125,1100.0
116,3.0,0.6125,1200.0
117,3.0,0.7,1300.0
118,3.0,0.6,1400.0
119,3.0,0.6375,1500.0
120,3.0,0.6375,1600.0
121,3.0,0.55,1700.0
122,3.0,0.475,1800.0
123,3.0,0.5625,1900.0
124,3.0,0.5875,2000.0
125,3.0,0.5875,2100.0
126,3.0,0.625,2200.0
127,3.0,0.5875,2300.0
128,3.0,0.475,2400.0
129,3.0,0.5125,2500.0
130,3.0,0.525,2600.0
131,3.0,0.525,2700.0
132,3.0,0.5,2800.0
133,3.0,0.5125,2900.0
134,3.0,0.4875,3000.0
135,3.0,0.4875,3100.0
136,3.0,0.5125,3200.0
137,3.0,0.475,3300.0
138,3.0,0.525,3400.0
139,3.0,0.4875,3500.0
140,4.0,0.54,100.0
141,4.0,0.68,200.0
142,4.0,0.68,300.0
143,4.0,0.66,400.0
144,4.0,0.7,500.0
145,4.0,0.74,600.0
146,4.0,0.78,700.0
147,4.0,0.74,800.0
148,4.0,0.7,900.0
149,4.0,0.74,1000.0
150,4.0,0.7,1100.0
151,4.0,0.7,1200.0
152,4.0,0.62,1300.0
153,4.0,0.58,1400.0
154,4.0,0.6,1500.0
155,4.0,0.48,1600.0
156,4.0,0.46,1700.0
157,4.0,0.46,1800.0
158,4.0,0.46,1900.0
159,4.0,0.5,2000.0
160,4.0,0.52,2100.0
161,4.0,0.5,2200.0
162,4.0,0.42,2300.0
163,4.0,0.44,2400.0
164,4.0,0.5,2500.0
165,4.0,0.5,2600.0
166,4.0,0.44,2700.0
167,4.0,0.46,2800.0
168,4.0,0.48,2900.0
169,4.0,0.5,3000.0
170,4.0,0.42,3100.0
171,4.0,0.46,3200.0
172,4.0,0.46,3300.0
173,4.0,0.52,3400.0
174,4.0,0.48,3500.0
175,5.0,0.5,100.0
176,5.0,0.6129032258064516,200.0
177,5.0,0.6451612903225806,300.0
178,5.0,0.7580645161290323,400.0
179,5.0,0.7741935483870968,500.0
180,5.0,0.7741935483870968,600.0
181,5.0,0.7580645161290323,700.0
182,5.0,0.7580645161290323,800.0
183,5.0,0.7741935483870968,900.0
184,5.0,0.7258064516129032,1000.0
185,5.0,0.7419354838709677,1100.0
186,5.0,0.7419354838709677,1200.0
187,5.0,0.7419354838709677,1300.0
188,5.0,0.7580645161290323,1400.0
189,5.0,0.7096774193548387,1500.0
190,5.0,0.6290322580645161,1600.0
191,5.0,0.5967741935483871,1700.0
192,5.0,0.6129032258064516,1800.0
193,5.0,0.5645161290322581,1900.0
194,5.0,0.5967741935483871,2000.0
195,5.0,0.5483870967741935,2100.0
196,5.0,0.532258064516129,2200.0
197,5.0,0.5967741935483871,2300.0
198,5.0,0.5645161290322581,2400.0
199,5.0,0.5645161290322581,2500.0
200,5.0,0.6129032258064516,2600.0
201,5.0,0.5967741935483871,2700.0
202,5.0,0.5645161290322581,2800.0
203,5.0,0.5645161290322581,2900.0
204,5.0,0.6129032258064516,3000.0
205,5.0,0.5645161290322581,3100.0
206,5.0,0.5645161290322581,3200.0
207,5.0,0.532258064516129,3300.0
208,5.0,0.5,3400.0
209,5.0,0.46774193548387094,3500.0
210,6.0,0.43103448275862066,100.0
211,6.0,0.603448275862069,200.0
212,6.0,0.6206896551724138,300.0
213,6.0,0.603448275862069,400.0
214,6.0,0.6724137931034483,500.0
215,6.0,0.6551724137931034,600.0
216,6.0,0.5862068965517241,700.0
217,6.0,0.5517241379310345,800.0
218,6.0,0.603448275862069,900.0
219,6.0,0.5862068965517241,1000.0
220,6.0,0.5862068965517241,1100.0
221,6.0,0.6206896551724138,1200.0
222,6.0,0.5862068965517241,1300.0
223,6.0,0.6206896551724138,1400.0
224,6.0,0.6379310344827587,1500.0
225,6.0,0.603448275862069,1600.0
226,6.0,0.5862068965517241,1700.0
227,6.0,0.5,1800.0
228,6.0,0.5862068965517241,1900.0
229,6.0,0.603448275862069,2000.0
230,6.0,0.6379310344827587,2100.0
231,6.0,0.5689655172413793,2200.0
232,6.0,0.5,2300.0
233,6.0,0.5,2400.0
234,6.0,0.4482758620689655,2500.0
235,6.0,0.39655172413793105,2600.0
236,6.0,0.41379310344827586,2700.0
237,6.0,0.4827586206896552,2800.0
238,6.0,0.3620689655172414,2900.0
239,6.0,0.5172413793103449,3000.0
240,6.0,0.43103448275862066,3100.0
241,6.0,0.4827586206896552,3200.0
242,6.0,0.4827586206896552,3300.0
243,6.0,0.4482758620689655,3400.0
244,6.0,0.5,3500.0
245,7.0,0.4918032786885246,100.0
246,7.0,0.6557377049180327,200.0
247,7.0,0.6229508196721312,300.0
248,7.0,0.6557377049180327,400.0
249,7.0,0.5573770491803278,500.0
250,7.0,0.7049180327868853,600.0
251,7.0,0.7049180327868853,700.0
252,7.0,0.6885245901639344,800.0
253,7.0,0.6721311475409836,900.0
254,7.0,0.6885245901639344,1000.0
255,7.0,0.639344262295082,1100.0
256,7.0,0.5573770491803278,1200.0
257,7.0,0.5901639344262295,1300.0
258,7.0,0.5901639344262295,1400.0
259,7.0,0.5737704918032787,1500.0
260,7.0,0.5901639344262295,1600.0
261,7.0,0.5409836065573771,1700.0
262,7.0,0.5901639344262295,1800.0
263,7.0,0.6065573770491803,1900.0
264,7.0,0.4918032786885246,2000.0
265,7.0,0.5081967213114754,2100.0
266,7.0,0.4918032786885246,2200.0
267,7.0,0.47540983606557374,2300.0
268,7.0,0.5737704918032787,2400.0
269,7.0,0.5245901639344263,2500.0
270,7.0,0.5409836065573771,2600.0
271,7.0,0.5409836065573771,2700.0
272,7.0,0.5081967213114754,2800.0
273,7.0,0.5737704918032787,2900.0
274,7.0,0.5737704918032787,3000.0
275,7.0,0.5245901639344263,3100.0
276,7.0,0.5245901639344263,3200.0
277,7.0,0.5245901639344263,3300.0
278,7.0,0.45901639344262296,3400.0
279,7.0,0.47540983606557374,3500.0
