,sub,Accuracy,Time [ms]
0,0.0,0.4,100.0
1,0.0,0.6909090909090909,200.0
2,0.0,0.6545454545454545,300.0
3,0.0,0.7090909090909091,400.0
4,0.0,0.6363636363636364,500.0
5,0.0,0.7090909090909091,600.0
6,0.0,0.6909090909090909,700.0
7,0.0,0.7636363636363637,800.0
8,0.0,0.7636363636363637,900.0
9,0.0,0.7090909090909091,1000.0
10,0.0,0.6909090909090909,1100.0
11,0.0,0.7090909090909091,1200.0
12,0.0,0.6727272727272727,1300.0
13,0.0,0.6727272727272727,1400.0
14,0.0,0.6545454545454545,1500.0
15,0.0,0.6181818181818182,1600.0
16,0.0,0.6363636363636364,1700.0
17,0.0,0.6545454545454545,1800.0
18,0.0,0.5818181818181818,1900.0
19,0.0,0.5636363636363636,2000.0
20,0.0,0.6181818181818182,2100.0
21,0.0,0.5818181818181818,2200.0
22,0.0,0.6,2300.0
23,0.0,0.5636363636363636,2400.0
24,0.0,0.5454545454545454,2500.0
25,0.0,0.5454545454545454,2600.0
26,0.0,0.6,2700.0
27,0.0,0.5818181818181818,2800.0
28,0.0,0.5454545454545454,2900.0
29,0.0,0.4909090909090909,3000.0
30,0.0,0.5272727272727272,3100.0
31,0.0,0.5636363636363636,3200.0
32,0.0,0.6,3300.0
33,0.0,0.6181818181818182,3400.0
34,0.0,0.6,3500.0
35,1.0,0.5675675675675675,100.0
36,1.0,0.6486486486486487,200.0
37,1.0,0.6216216216216216,300.0
38,1.0,0.6216216216216216,400.0
39,1.0,0.6756756756756757,500.0
40,1.0,0.5945945945945946,600.0
41,1.0,0.7027027027027027,700.0
42,1.0,0.6756756756756757,800.0
43,1.0,0.7027027027027027,900.0
44,1.0,0.7567567567567568,1000.0
45,1.0,0.7027027027027027,1100.0
46,1.0,0.7027027027027027,1200.0
47,1.0,0.6486486486486487,1300.0
48,1.0,0.6216216216216216,1400.0
49,1.0,0.5405405405405406,1500.0
50,1.0,0.5405405405405406,1600.0
51,1.0,0.5405405405405406,1700.0
52,1.0,0.5405405405405406,1800.0
